서비스ID,정류소명,좌표(X),좌표(Y)
2633,한국교원대학교,127.3580214,36.60858721
4031,한국교원대학교입구,127.3543637,36.60677784
2131,한국교원대후문,127.355609,36.61744094
2662,한국교통대,127.6183642,36.7716465
2640,한국교통대 증평캠퍼스 앞,127.6225329,36.7675234
2619,한국교통대 증평캠퍼스 앞,127.6223696,36.76740711
2847,한국기술교육대학교종점,127.2838731,36.76680396
2848,한국기술교육대학교종점,127.2837769,36.76655188
2136,한국기초과학연구원,127.4366357,36.72257451
2137,한국기초과학연구원,127.4368963,36.7230874
1908,한국도자기,127.4417358,36.64420241
1656,한국방송통신대학교,127.4683202,36.62544122
1657,한국방송통신대학교,127.4685428,36.62540995
1244,한국병원,127.4964685,36.62012032
3236,한국보건복지인재원,127.3248172,36.63908167
3235,한국보건복지인재원,127.3247001,36.63884997
3974,한국산업인력공단(세종지사),127.2562823,36.49029438
3975,한국산업인력공단(세종지사),127.2567235,36.49041734
2138,한국생명공학연구원,127.4335074,36.72319625
2139,한국생명공학연구원,127.4334995,36.72346771
2123,한국수자원공사,127.4547794,36.60399419
4289,한국여성경제인협회,127.4769138,36.68364912
2341,한국자산관리공사,127.4273557,36.62447681
2140,한국자산관리공사,127.4284976,36.62455471
3759,한국조세재정연구원,127.3013755,36.49380264
3760,한국조세재정연구원,127.3015035,36.49372121
2141,한국폴리텍대학,127.4474574,36.63860855
1988,한국폴리텍대학,127.4476378,36.63870181
1938,한국폴리텍대학,127.4536215,36.6387614
2798,한남오거리,127.4135439,36.35006901
1605,한남오거리,127.4142576,36.34967903
2954,"한뜰마을1,2단지",127.2678748,36.50639735
2142,한라비발디,127.51385,36.6283088
2247,한라비발디,127.5143717,36.62815292
3060,한라비발디,127.4171501,36.710319
1301,한라비발디1단지,127.5170153,36.62983364
1302,한라비발디1단지,127.5169028,36.62965301
2143,한라비발디2단지,127.5178748,36.62871221
2144,한라비발디2단지,127.5178871,36.62923638
2058,한라비발디아파트,127.4273963,36.62106737
3056,한라비발디정문,127.4200365,36.70745245
3058,한라비발디후문,127.4182041,36.70880639
1698,한마음2차아파트,127.4712537,36.62007061
1391,한박골,127.5409882,36.61676303
1392,한박골,127.5410825,36.61668562
2801,한밭자이아파트,127.4251987,36.34122138
1162,한밭자이아파트,127.4262121,36.34067481
3985,한별동,127.2752592,36.53404366
3986,한별동,127.276618,36.53384001
2664,한별동,127.2755377,36.53386729
2568,한별동,127.2762781,36.53403229
2145,한빛아파트,127.3555448,36.61763796
2594,한솔동,127.2617976,36.48095092
2302,한솔동,127.2623034,36.4803956
3987,한솔동(첫마을),127.2614382,36.48111392
3988,한솔동(첫마을),127.2617989,36.48134067
1695,한솔초등학교,127.476086,36.61769665
1694,한솔초등학교,127.4756522,36.61786116
3109,한울아파트,127.3702353,36.66663752
1992,한전.농협충북본부,127.4499875,36.61474881
2658,한전.진천군청,127.4355891,36.85451921
4240,한화사원아파트,127.3684183,36.52607393
4241,한화사원아파트,127.3681889,36.52536724
3698,합강2리,127.3426445,36.5182319
3699,합강2리,127.3426048,36.51809459
3989,해밀고등학교,127.2711966,36.52585475
3990,해밀고등학교,127.2714786,36.52587664
2456,해밀동.산울동,127.2646464,36.52947632
2268,해밀동.산울동,127.2640637,36.52885582
3991,해밀마을1단지,127.2631797,36.52498958
3992,해밀마을1단지,127.2632899,36.52458157
1385,해오름마을,127.545,36.61908071
2918,해정1리,127.2774256,36.71967942
2919,해정2리(대해),127.2798413,36.72682641
2920,해정2리(대해),127.2795671,36.72684508
2917,해정리,127.2775711,36.71966331
2562,행산리,127.3727296,36.56035704
2300,행산리,127.3727882,36.56023836
2441,행산리(비룡교),127.3760427,36.5608952
2998,행성화학,127.3871956,36.73205315
2997,행성화학,127.3874182,36.73347453
3838,행정리,127.5270634,36.53449783
3839,행정리,127.5270972,36.53440637
3837,행정초등학교,127.5317248,36.53587214
3836,행정초등학교,127.5319405,36.53593382
1957,향정동,127.4257946,36.65190579
1958,향정동,127.4256621,36.65163939
2547,향정동,127.4253729,36.65374455
1285,현대3차아파트,127.5044802,36.61048324
1284,현대3차아파트,127.5043587,36.6102633
1913,현대백화점,127.4286492,36.64499437
1914,현대백화점,127.4280108,36.64553508
1964,현대아파트,127.4328497,36.6358013
2310,현대자동차서비스,127.4211507,36.64640542
3515,현도면행정복지센터.선동리,127.4236055,36.48679322
3516,현도면행정복지센터.선동리,127.4241685,36.48500561
3922,현암,127.5609125,36.64445152
3923,현암,127.5622715,36.64410268
2146,현암1리,127.5609176,36.65517711
2147,현암1리,127.5610144,36.65502346
2451,현암2리,127.5305169,36.74966103
4210,현암·금암리,127.5489621,36.75199758
2517,현암동,127.3920528,36.6011532
2148,현암동,127.3920789,36.60100462
3919,현암리,127.5482822,36.65182752
3918,현암리,127.5480654,36.65173829
4206,현암리,127.5450133,36.74301491
4205,현암리,127.5443023,36.74214403
2150,현암리(검배마을),127.5600525,36.65463149
3921,현암리입구,127.5522458,36.65075685
3920,현암리입구,127.5521863,36.65057872
2149,현암리입구,127.5573887,36.65358067
2151,현암사,127.4789053,36.47934173
2152,현암사,127.4788767,36.47943322
2153,현암정휴게소,127.4837097,36.47956381
2154,현암정휴게소,127.4837686,36.47948816
1707,현진에버빌아파트,127.472225,36.61158279
1708,현진에버빌아파트.청주교육지원청,127.4720646,36.61179909
2544,협업농장,127.5992749,36.77534178
2286,협업농장,127.5994758,36.77522764
4162,형동1리,127.5643181,36.7012037
4163,형동1리,127.5644496,36.70119407
4165,형동1리,127.5692719,36.70483524
4164,형동1리,127.5692223,36.70494395
4161,형동2리,127.5628188,36.69662412
4160,형동2리,127.5627592,36.69689023
2396,형석중.고등학교,127.5944148,36.79072416
2438,형석중.고등학교,127.5945915,36.79098806
3196,형제빌라,127.3777369,36.66384233
3197,형제빌라,127.3772764,36.66344054
1753,혜원장애인종합복지관,127.4609859,36.60109625
3242,호계리,127.3451566,36.65268174
3241,호계리입구,127.3452769,36.65255058
3243,호계리종점,127.3480386,36.65729039
3244,호계리종점,127.348203,36.65728785
4130,호려울마을8.9단지,127.2970671,36.47984101
4186,호려울마을8.9단지,127.2959645,36.47966352
4178,호명,127.6000928,36.73190083
